id,voyage_id,voyage_dates__imp_arrival_at_port_of_dis_sparsedate__year,voyage_slaves_numbers__imp_total_num_slaves_disembarked,voyage_slaves_numbers__imp_total_num_slaves_embarked,voyage_dates__length_middle_passage_days,voyage_dates__imp_length_home_to_disembark,voyage_crew__crew_first_landing,voyage_crew__crew_voyage_outset,voyage_ship__tonnage_mod,voyage_slaves_numbers__imp_jamaican_cash_price,voyage_slaves_numbers__imp_mortality_ratio,voyage_slaves_numbers__percentage_women_among_embarked_slaves,voyage_outcome__vessel_captured_outcome__name,voyage_ship__imputed_nationality__name,voyage_itinerary__imp_region_voyage_begin__name,voyage_ship__rig_of_vessel__name,voyage_itinerary__place_voyage_ended__name,voyage_dates__slave_purchase_began_sparsedate__month,voyage_slaves_numbers__percentage_men,voyage_dates__voyage_completed_sparsedate__month,voyage_itinerary__region_of_return__name,voyage_slaves_numbers__percentage_boy,voyage_itinerary__imp_principal_region_slave_dis__name,voyage_itinerary__imp_principal_region_of_slave_purchase__name,voyage_dates__date_departed_africa_sparsedate__month,voyage_dates__voyage_began_sparsedate__month,voyage_itinerary__imp_port_voyage_begin__name,voyage_dates__first_dis_of_slaves_sparsedate__month,voyage_itinerary__imp_broad_region_slave_dis__name,voyage_slaves_numbers__percentage_girl,voyage_outcome__particular_outcome__name,voyage_itinerary__imp_principal_port_slave_dis__name,voyage_slaves_numbers__percentage_child,voyage_slaves_numbers__percentage_women,voyage_dates__departure_last_place_of_landing_sparsedate__month,voyage_outcome__outcome_owner__name,voyage_outcome__outcome_slaves__name,voyage_itinerary__imp_principal_place_of_slave_purchase__name,voyage_outcome__resistance__name,voyage_slaves_numbers__percentage_male,voyage_slaves_numbers__percentage_female,voyage_itinerary__imp_broad_region_voyage_begin__name,voyage_itinerary__imp_broad_region_of_slave_purchase__name,voyage_sources,enslavers,dataset_source
130376,130376,1840.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,0,0,Schooner,0,0.0,0.0,0.0,0,0.0,Gulf coast,Gulf coast,12.0,0.0,0,0.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Mobile,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Judge Hitchcock, 12-17-1840,” December 17, 1840. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Carson, William|Captain: Hathaway, William",Intra
130377,130377,1851.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,0,0,Steamer,0,0.0,0.0,0.0,0,0.0,Gulf coast,South Carolina,12.0,0.0,0,12.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Charleston,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Julia Horn, 12-5-1851,” December 5, 1851. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Captain: Brinwates, George|Riggs, J S|Shipper: Davis, S",Intra
130378,130378,1846.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Steamer,0,0.0,0.0,0.0,0,0.0,Gulf coast,Gulf coast,6.0,0.0,0,0.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Mobile,0,0.0,0.0,0,Mainland North America,"  “Manifest of the King, 6-27-1846,” June 27, 1846. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).|  “Manifest of the King, 6-27-1846,” June 27, 1846. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Captain: Hooper, O B|Shipper: Doss, R M",Intra
130379,130379,1840.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,0,0,Schooner,0,0.0,0.0,0.0,0,0.0,Gulf coast,Florida,1.0,0.0,0,1.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,St. Joseph,0,0.0,0.0,0,Mainland North America,"  &#x201C;Manifest of the Kingston, 1-18-1840,&#x201D; January 18, 1840. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1837-1841, Inward Series, v. Microfilm Serial M1895, RG 36, Roll 6, NAID 173898130. National Archives and Records Administration (Washington DC, USA). https://catalog.archives.gov/id/173898130.","Captain: Luke, William C|Studs, David",Intra
130380,130380,1820.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Schooner,0,0.0,0.0,0.0,0,0.0,Gulf coast,Virginia,12.0,0.0,0,1.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Norfolk,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Ladies Delight, 12-7-1819,” December 7, 1819. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Mark, Mordica|Letiore, H|Captain: Benedict,",Intra
130381,130381,1826.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,0,0,Brig,0,0.0,0.0,0.0,0,0.0,Gulf coast,South Carolina,4.0,0.0,0,4.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Charleston,0,0.0,0.0,0,Mainland North America,"  &#x201C;Manifest of the LaFayette, 4-26-1826,&#x201D; April 26, 1826. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1826-1827, Inward Series, v. Microfilm Serial M1895, RG 36, Roll 4, NAID 173911558. National Archives and Records Administration (Washington DC, USA). https://catalog.archives.gov/id/173911558.|  “Manifest of the LaFayette, 4-5-1826,” April 5, 1826. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).|  “Manifest of the LaFayette, 4-5-1826,” April 5, 1826. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Shipper: Kirkpatrick, John |Captain: Chaote, Enoch|Beykam, Burnett",Intra
130382,130382,1838.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Brig,0,0.0,0.0,0.0,0,0.0,Gulf coast,Florida,2.0,0.0,0,2.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Tampa,0,0.0,0.0,0,Mainland North America,"  &#x201C;Manifest of the Lancet, 2-24-1838,&#x201D; February 24, 1838. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1837-1841, Inward Series, v. Microfilm Serial M1895, RG 36, Roll 6, NAID 173898130. National Archives and Records Administration (Washington DC, USA). https://catalog.archives.gov/id/173898130.","Captain: Armstrong, Taber A|Swin, George",Intra
130383,130383,1842.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,0,0,Schooner,0,0.0,0.0,0.0,0,0.0,Gulf coast,South Carolina,11.0,0.0,0,12.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Charleston,0,0.0,0.0,0,Mainland North America,"  &#x201C;Manifest of the Lancet, 12-8-1842,&#x201D; December 8, 1842. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1837-1841, Inward Series, v. Microfilm Serial M1895, RG 36, Roll 9, NAID 173909088. National Archives and Records Administration (Washington DC, USA). https://catalog.archives.gov/id/173909088.|  “Manifest of the Lancet, 11-23-1842,” November 23, 1842. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Captain: Hoffsens, J W|Silcox, Joseph",Intra
130384,130384,1841.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,0,0,Schooner,0,0.0,0.0,0.0,0,0.0,Gulf coast,Florida,12.0,0.0,0,12.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Apalachicola,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Leon, 12-11-1841,” December 11, 1841. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Ferrer, J F|Captain: Cleph, Jim",Intra
130385,130385,1843.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,0,0,Brig,0,0.0,0.0,0.0,0,0.0,Gulf coast,Florida,1.0,0.0,0,1.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Apalachicola,0,0.0,0.0,0,Mainland North America,"  &#x201C;Manifest of the Leon, 1-30-1843,&#x201D; January 30, 1843. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1837-1841, Inward Series, v. Microfilm Serial M1895, RG 36, Roll 9, NAID 173909088. National Archives and Records Administration (Washington DC, USA). https://catalog.archives.gov/id/173909088.|  “Manifest of the Leon, 1-23-1843,” January 23, 1843. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Captain: Clift, William|McKay, A N",Intra
130386,130386,1844.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Steamer,0,0.0,0.0,0.0,0,0.0,Gulf coast,Gulf coast,1.0,0.0,0,0.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Mobile,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Leon, 1-6-1844,” January 6, 1844. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Captain: Lewis,|Kerony, B G",Intra
130387,130387,1844.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Steamer,0,0.0,0.0,0.0,0,0.0,Gulf coast,Gulf coast,1.0,0.0,0,0.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Mobile,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Leon, 1-16-1844,” January 16, 1844. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Gainele?, E|Captain: Stewart,",Intra
130388,130388,1829.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,0,0,Schooner,0,0.0,0.0,0.0,0,0.0,Gulf coast,Georgia,3.0,0.0,0,3.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Savannah,0,0.0,0.0,0,Mainland North America,,"Shipper: King, William|Captain: Dunton, I",Intra
130389,130389,1849.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,0,0,Schooner,0,0.0,0.0,0.0,0,0.0,Gulf coast,Georgia,5.0,0.0,0,0.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Savannah,0,0.0,0.0,0,Mainland North America,,"Captain: Dunton, John|Shipper: Bancroft, Jonathan",Intra
130390,130390,1835.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,0,0,Brig,0,0.0,0.0,0.0,0,0.0,Gulf coast,Florida,11.0,0.0,0,11.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Apalachicola,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Levin Jones, 11-24-1835,” November 24, 1835. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).|  &#x201C;Manifest of the Levin Jones, 11-30-1835,&#x201D; November 30, 1835. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1832-1836, Inward Series, v. Microfilm Serial M1895, RG 36, Roll 6, NAID 173896856. National Archives and Records Administration (Washington DC, USA). https://catalog.archives.gov/id/173896856.","Captain: Hill, John W|Pearce, George",Intra
130391,130391,1840.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,0,0,Brig,0,0.0,0.0,0.0,0,0.0,Gulf coast,Georgia,10.0,0.0,0,11.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Savannah,0,0.0,0.0,0,Mainland North America,"  &#x201C;Manifest of the Lime Rock, 11-20-1840,&#x201D; November 20, 1840. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1837-1841, Inward Series, v. Microfilm Serial M1895, RG 36, Roll 6, NAID 173898130. National Archives and Records Administration (Washington DC, USA). https://catalog.archives.gov/id/173898130.","Captain: Fales, Orris|Wylley, Leonidas",Intra
130392,130392,1835.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,0,0,Schooner,0,0.0,0.0,0.0,0,0.0,Gulf coast,Maryland,3.0,0.0,0,0.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Baltimore,0,0.0,0.0,0,Mainland North America,"  &#x201C;Manifest of the Lyon, --1835,&#x201D; 1835. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1832-1836, Inward Series, v. Microfilm Serial M1895, RG 36, Roll 6, NAID 173896856. National Archives and Records Administration (Washington DC, USA). https://catalog.archives.gov/id/173896856.|  “Manifest of the Lyon, 3-20-1835,” March 20, 1835. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Shipper: Williams, Thomas|Yarwood, Richard|Captain: MORRELL, CM",Intra
130393,130393,1842.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,0,0,Steamer,0,0.0,0.0,0.0,0,0.0,Gulf coast,Florida,3.0,0.0,0,3.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Apalachicola,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Lion, 3-7-1842,” March 7, 1842. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Captain: Chift, William|Ward, Shadrick",Intra
130394,130394,1845.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Schooner,0,0.0,0.0,0.0,0,0.0,Gulf coast,Florida,4.0,0.0,0,4.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Pensacola,0,0.0,0.0,0,Mainland North America,"  &#x201C;Manifest of the Lois, 4-25-1845,&#x201D; April 25, 1845. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1844-1845, Inward Series, v. Microfilm Serial M1895, RG 36, Roll 10, NAID 173909088. National Archives and Records Administration (Washington DC, USA). https://catalog.archives.gov/id/173900399.","Captain: Blaylock, W|Davis, W B",Intra
130395,130395,1845.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Schooner,0,0.0,0.0,0.0,0,0.0,Gulf coast,Florida,12.0,0.0,0,12.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Pensacola,0,0.0,0.0,0,Mainland North America,"  &#x201C;Manifest of the Lois, 12-4-1845,&#x201D; December 4, 1845. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1844-1845, Inward Series, v. Microfilm Serial M1895, RG 36, Roll 10, NAID 173909088. National Archives and Records Administration (Washington DC, USA). https://catalog.archives.gov/id/173900399.","Anderson, Walker|Captain: Perry, George",Intra
130396,130396,1845.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Schooner,0,0.0,0.0,0.0,0,0.0,Gulf coast,Florida,2.0,0.0,0,2.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Pensacola,0,0.0,0.0,0,Mainland North America,"  &#x201C;Manifest of the Lois, 2-22-1845,&#x201D; February 22, 1845. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1844-1845, Inward Series, v. Microfilm Serial M1895, RG 36, Roll 10, NAID 173909088. National Archives and Records Administration (Washington DC, USA). https://catalog.archives.gov/id/173900399.","Captain: Perry, George|Captain: Perry, George",Intra
130397,130397,1847.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Schooner,0,0.0,0.0,0.0,0,0.0,Gulf coast,Florida,2.0,0.0,0,2.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Pensacola,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Lois, 1847-2-21,” February 21, 1847. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1846-47, Inward Series, v. Microfilm Serial M1895, RG 36, Roll 11, NAID 173892418. National Archives and Records Administration (Washington DC, USA). https://catalog.archives.gov/id/173892418.|  &#x201C;Manifest of the Lois, 2-21-1847,&#x201D; February 21, 1847. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1846-47, Inward Series, v. Microfilm Serial M1895, RG 36, Roll 11, NAID 173892418. National Archives and Records Administration (Washington DC, USA). https://catalog.archives.gov/id/173892418.","Captain: Mask, William|Quigles, James",Intra
130398,130398,1830.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Steamer,0,0.0,0.0,0.0,0,0.0,Gulf coast,Gulf coast,7.0,0.0,0,0.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Mobile,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Long Branch, 7-27-1830,” July 27, 1830. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).|  “Manifest of the Long Branch, 7-27-1830,” July 27, 1830. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Pye, William|Captain: Walker, Charles",Intra
130399,130399,1830.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Steamer,0,0.0,0.0,0.0,0,0.0,Gulf coast,Gulf coast,3.0,0.0,0,0.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Mobile,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Long Branch, 3-25-1830,” March 25, 1830. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).|  “Manifest of the Long Branch, 3-25-1830,” March 25, 1830. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Captain: Walker, Charles|Shipper: Walker, Charles|Captain: Walker, Charles",Intra
130400,130400,1831.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Steamer,0,0.0,0.0,0.0,0,0.0,Gulf coast,Gulf coast,2.0,0.0,0,0.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Mobile,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Long Branch, 2-23-1831,” February 23, 1831. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).|  “Manifest of the Long Branch, 2-23-1831,” February 23, 1831. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Shipper: Pugh, Augustin",Intra
130401,130401,1852.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Steamer,0,0.0,0.0,0.0,0,0.0,Gulf coast,Texas,4.0,0.0,0,4.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Galveston,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Lonnan, 4-26-1852,” April 26, 1852. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Boer, J J|McCaige?, Thomas|Captain: Thaney,",Intra
130402,130402,1851.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Steamer,0,0.0,0.0,0.0,0,0.0,Gulf coast,Texas,12.0,0.0,0,12.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Galveston,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Louisiana, 12-23-1851,” December 23, 1851. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Sims, F|Lutton, R A|Captain: Lawless, James",Intra
130403,130403,1851.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Schooner,0,0.0,0.0,0.0,0,0.0,Gulf coast,Florida,0.0,0.0,0,2.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Pensacola,0,0.0,0.0,0,Mainland North America,,"Captain: Miner, Thomas|Conthiwintley, George",Intra
130404,130404,1851.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Steamer,0,0.0,0.0,0.0,0,0.0,Gulf coast,Texas,5.0,0.0,0,5.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Galveston,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Louisiana, 5-24-1851,” May 24, 1851. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Chambers, William|Captain: Lawless, James",Intra
130405,130405,1851.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Schooner,0,0.0,0.0,0.0,0,0.0,Gulf coast,Florida,3.0,0.0,0,3.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Pensacola,0,0.0,0.0,0,Mainland North America,,"Captain: Miner, Thomas|Captain: Miner, Thomas C",Intra
130406,130406,1852.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,0,0,Sloop,0,0.0,0.0,0.0,0,0.0,Gulf coast,Texas,8.0,0.0,0,0.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Galveston,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Louisiana, 8-22-1852,” August 22, 1852. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Thomas, B G|Captain: Forbes, Thomas",Intra
130407,130407,1852.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,Steamer,0,0.0,0.0,0.0,0,0.0,Gulf coast,Texas,3.0,0.0,0,4.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Galveston,0,0.0,0.0,0,Mainland North America,"  “Manifest of the Louisiana, 3-31-1852,” March 31, 1852. Records of the United States Customs Service (Record Group 36), Slave Manifests of Coastwise Vessels Filed at New Orleans, Louisiana, 1807-1860, Inward Series, v. Microfilm Serial M1895, RG 36. National Archives and Records Administration (Washington DC, USA).","Sering, S B|Captain: Lawless, James",Intra
